"OTU_ID","Season","Year","Random: sample","Random: pcr","Genus","guild"
"OTU132",0.2301,0.1086,0.3615,0.2999,NA,"dark_unassigned"
"OTU136",0.1762,0.101,0.4443,0.2785,"Candida","plant_associated"
"OTU137",0.0039,0.0053,0.6276,0.3632,NA,"dark_unassigned"
"OTU147",0.1491,0.1669,0.3958,0.2881,"Bryochiton","plant_associated"
"OTU150",0.0442,0.0551,0.6433,0.2574,NA,"dark_unassigned"
"OTU153",0.0331,0.0614,0.5789,0.3267,NA,"dark_unassigned"
"OTU159",0.1344,0.2001,0.364,0.3015,"Rhodotorula","plant_associated"
"OTU167",0.2381,0.15,0.3492,0.2627,NA,"dark_unassigned"
"OTU175",0.0884,0.0597,0.5484,0.3035,"Mrakiaceae_gen_Incertae_sedis","other"
"OTU176",0.0598,0.068,0.5494,0.3228,"Dothiora","other"
"OTU190",0.2284,0.1436,0.3664,0.2616,"Dothideales_gen_Incertae_sedis","other"
"OTU192",0.2565,0.1163,0.3316,0.2956,"Kabatiella","plant_associated"
"OTU194",0.1231,0.2023,0.421,0.2536,"Trichoderma","plant_associated"
"OTU199",0.0257,0.0188,0.6968,0.2587,"Sympodiella","plant_associated"
"OTU207",0.2102,0.1328,0.4824,0.1747,"Microcyclospora","plant_associated"
"OTU209",0.0551,0.0747,0.4051,0.465,"Fellozyma","other"
"OTU213",0.0683,0.0741,0.612,0.2456,"Thelebolus","dung_saprotroph"
"OTU216",0.2226,0.1594,0.3502,0.2678,"Hypogymnia","other"
"OTU232",0.1125,0.108,0.4698,0.3096,NA,"plant_associated"
"OTU245",0.2531,0.1224,0.3551,0.2694,NA,"dark_unassigned"
"OTU252",0.2325,0.1073,0.3348,0.3253,NA,"plant_associated"
"OTU253",0.0036,0.0045,0.6945,0.2974,"Tylospora","other"
"OTU258",0.1044,0.0647,0.4649,0.3661,NA,"dark_unassigned"
"OTU265",0.2306,0.1302,0.3463,0.2928,NA,"dark_unassigned"
"OTU267",0.3638,0.1525,0.3067,0.1771,"Malassezia","pathotroph"
"OTU272",0.1476,0.1056,0.3212,0.4255,NA,"dark_unassigned"
"OTU275",0.0336,0.0434,0.4939,0.4291,NA,"dark_unassigned"
"OTU285",0.0805,0.1142,0.4952,0.31,"Dioszegia","plant_associated"
"OTU290",0.1333,0.0943,0.4143,0.3581,NA,"dark_unassigned"
"OTU291",0.1687,0.1212,0.4005,0.3095,NA,"other"
"OTU295",0.0033,0.0045,0.6126,0.3796,NA,"dark_unassigned"
"OTU300",0.0961,0.0997,0.4415,0.3627,"Phaeotremella","pathotroph"
"OTU305",0.0039,0.0051,0.56,0.431,"Sistotrema","plant_associated"
"OTU320",0.267,0.0757,0.4764,0.1809,NA,"dark_unassigned"
"OTU323",0.1098,0.1449,0.4113,0.3339,NA,"dark_unassigned"
"OTU337",0.1813,0.1386,0.3921,0.2881,"Melanohalea","other"
"OTU340",0.049,0.0621,0.5194,0.3696,"Cladosporium","plant_associated"
"OTU356",0.0916,0.1888,0.4144,0.3052,"Godronia","plant_associated"
"OTU357",0.223,0.1318,0.4055,0.2398,NA,"dark_unassigned"
"OTU367",0.042,0.0705,0.5442,0.3433,"Itersonilia","plant_associated"
"OTU373",0.0413,0.0612,0.6398,0.2576,NA,"dark_unassigned"
"OTU381",0.2843,0.1233,0.2974,0.2949,NA,"dark_unassigned"
"OTU383",0.0444,0.0794,0.4237,0.4525,NA,"dark_unassigned"
"OTU392",0.0084,0.0111,0.5396,0.4409,"Pycnora","other"
"OTU400",0.0886,0.0547,0.6238,0.2328,"Phenoliferia","other"
"OTU409",0.1087,0.0712,0.651,0.1691,"Solicoccozyma","plant_associated"
"OTU419",0.1136,0.043,0.6268,0.2166,NA,"dark_unassigned"
"OTU420",0.0085,0.0109,0.7432,0.2373,NA,"other"
"OTU429",0.1439,0.1514,0.4237,0.281,"Cladophialophora","plant_associated"
"OTU430",0.122,0.1698,0.3901,0.3181,"Sporormiella","dung_saprotroph"
"OTU431",0.0118,0.014,0.3329,0.6413,NA,"plant_associated"
"OTU441",0.0086,0.0071,0.6811,0.3032,"Venturia","plant_associated"
"OTU445",0.0483,0.0635,0.3875,0.5006,NA,"dark_unassigned"
"OTU457",0.1481,0.2127,0.3913,0.2479,"Penicillium","dung_saprotroph"
"OTU475",0.0542,0.0666,0.5987,0.2805,NA,"dark_unassigned"
"OTU478",0.0034,0.0036,0.6032,0.3898,NA,"dark_unassigned"
