"OTU_ID","Genus","guild","beta_season_mean","beta_season_support","beta_season_CrI2.5","beta_season_CrI97.5"
"OTU758","Meristemomyces","plant_associated",0.33,0.819,-0.336,1.07
"OTU1214","Pseudoleucosporidium","other",0.32,0.856,-0.243,1.01
"OTU1390","Mrakia","other",0.318,0.727,-0.42,1.313
"OTU290",NA,"dark_unassigned",0.316,0.823,-0.297,1.034
"OTU51",NA,"dark_unassigned",0.312,0.785,-0.296,1.083
"OTU618","Piskurozyma","other",0.307,0.618,-0.463,1.459
"OTU1359",NA,"dark_unassigned",0.297,0.898,-0.147,0.772
"OTU1330",NA,"plant_associated",0.296,0.847,-0.308,0.847
"OTU1450","Ascocoryne","other",0.294,0.842,-0.253,0.784
"OTU22",NA,"dung_saprotroph",0.286,0.659,-0.421,1.376
"OTU1362","Bannozyma","other",0.269,0.891,-0.153,0.699
"OTU749","Piskurozyma","other",0.268,0.541,-0.425,1.422
"OTU626","Piskurozyma","other",0.266,0.676,-0.39,1.178
"OTU1248","Neophaeomoniella","plant_associated",0.264,0.844,-0.257,0.75
"OTU776","Piskurozyma","other",0.261,0.817,-0.269,0.823
"OTU175","Mrakiaceae_gen_Incertae_sedis","other",0.257,0.644,-0.729,1.569
"OTU32","Phenoliferia","other",0.248,0.488,-0.629,1.64
"OTU640",NA,"dark_unassigned",0.243,0.781,-0.337,0.838
"OTU1024",NA,"dark_unassigned",0.239,0.821,-0.223,0.761
"OTU1345",NA,"dark_unassigned",0.236,0.779,-0.361,0.862
"OTU194","Trichoderma","plant_associated",0.228,0.764,-0.311,0.828
"OTU564",NA,"dark_unassigned",0.226,0.753,-0.305,0.836
"OTU1410","Venturia","plant_associated",0.223,0.941,-0.055,0.503
"OTU430","Sporormiella","dung_saprotroph",0.217,0.762,-0.432,0.798
"OTU400","Phenoliferia","other",0.214,0.618,-0.516,1.162
"OTU429","Cladophialophora","plant_associated",0.208,0.757,-0.409,0.755
"OTU527","Piskurozyma","other",0.204,0.537,-0.534,1.283
