"OTU_ID","plant","slope","se","slope_lwr95","slope_upr95","z","p","q_BH","Genus","guild_group","separation"
"OTU594","Eriophorum",1.175,1.799,-2.351,4.701,0.653,0.514,NA,"Taphrina","plant_associated",TRUE
"OTU628","Eriophorum",-0.878,1.434,-3.688,1.932,-0.613,0.54,0.657,"Frutidella","other/unassigned",FALSE
"OTU636","Eriophorum",1.743,0.778,0.218,3.269,2.24,0.0251,0.0903,"Sporormiella","coprophilous",FALSE
"OTU637","Eriophorum",-2.023,0.864,-3.716,-0.33,-2.342,0.0192,0.0704,NA,"other/unassigned",FALSE
"OTU651","Eriophorum",-23.625,2.478,-28.482,-18.769,-9.535,1.5e-21,NA,NA,"other/unassigned",TRUE
"OTU691","Eriophorum",-1.079,0.978,-2.995,0.838,-1.103,0.27,0.438,NA,"other/unassigned",FALSE
"OTU715","Eriophorum",-10.607,5.15,-20.701,-0.513,-2.06,0.0394,NA,NA,"other/unassigned",TRUE
"OTU733","Eriophorum",1.734,0.995,-0.217,3.685,1.742,0.0815,0.213,"Psilolechiaceae_gen_Incertae_sedis","other/unassigned",FALSE
"OTU758","Eriophorum",0.228,1.261,-2.243,2.7,0.181,0.857,0.886,"Meristemomyces","plant_associated",FALSE
"OTU788","Eriophorum",-8.611,2.407,-13.329,-3.892,-3.577,0.000348,NA,NA,"other/unassigned",TRUE
"OTU827","Eriophorum",-9.735,1.665,-12.999,-6.472,-5.847,5.02e-09,4.51e-07,NA,"other/unassigned",FALSE
"OTU911","Eriophorum",2.677,0.528,1.642,3.711,5.07,3.99e-07,NA,NA,"other/unassigned",TRUE
"OTU1183","Eriophorum",-0.894,0.391,-1.661,-0.127,-2.283,0.0224,NA,"Phenoliferia","other/unassigned",TRUE
"OTU1225","Eriophorum",0.831,0.452,-0.055,1.718,1.838,0.0661,0.192,"Coniochaeta","coprophilous",FALSE
"OTU1226","Eriophorum",-0.534,0.587,-1.685,0.616,-0.91,0.363,NA,"Phenoliferia","other/unassigned",TRUE
"OTU1242","Eriophorum",6.392,4.933,-3.278,16.061,1.296,0.195,NA,"Spirographa","other/unassigned",TRUE
"OTU1271","Eriophorum",-0.158,3.289,-6.604,6.289,-0.048,0.962,NA,"Aureobasidium","plant_associated",TRUE
"OTU1279","Eriophorum",-3.38,1.78,-6.869,0.109,-1.899,0.0576,0.185,NA,"other/unassigned",FALSE
"OTU1283","Eriophorum",18.814,1.917,15.058,22.57,9.817,9.53e-23,NA,NA,"other/unassigned",TRUE
"OTU1289","Eriophorum",-0.366,1.544,-3.392,2.66,-0.237,0.813,0.86,"Dothideales_gen_Incertae_sedis","other/unassigned",FALSE
"OTU1305","Eriophorum",0.405,0.414,-0.406,1.216,0.979,0.327,0.473,NA,"coprophilous",FALSE
"OTU1320","Eriophorum",0.398,0.36,-0.307,1.104,1.106,0.269,0.438,NA,"coprophilous",FALSE
"OTU1340","Eriophorum",-2.669,8.114,-18.573,13.235,-0.329,0.742,NA,NA,"other/unassigned",TRUE
"OTU1365","Eriophorum",-8.253,1.65,-11.488,-5.019,-5.002,5.69e-07,2.05e-05,"Perusta","other/unassigned",FALSE
"OTU1369","Eriophorum",-0.147,0.329,-0.791,0.498,-0.447,0.655,0.756,NA,"other/unassigned",FALSE
"OTU1370","Eriophorum",-5.109,1.031,-7.129,-3.089,-4.956,7.18e-07,2.15e-05,NA,"other/unassigned",FALSE
"OTU1427","Eriophorum",-3.74,1.056,-5.811,-1.669,-3.54,4e-04,0.00514,NA,"other/unassigned",FALSE
